ensembl_gene_id,symbol,type,entrez_id
ENSG00000121410,A1BG,lncRNA,1
ENSG00000148584,A1CF,lncRNA,29974
ENSG00000175899,A2M,mRNA,2
ENSG00000166535,A2ML1,mRNA,144568
ENSG00000184389,A3GALT2,lncRNA,127550
ENSG00000128274,A4GALT,mRNA,53947
ENSG00000118017,A4GNT,lncRNA,51146
ENSG00000094914,AAAS,lncRNA,8086
ENSG00000081760,AACS,mRNA,65985
ENSG00000114771,AADAC,lncRNA,13
ENSG00000197953,AADACL2,lncRNA,344752
ENSG00000188984,AADACL3,mRNA,126767
ENSG00000204518,AADACL4,mRNA,343066
ENSG00000109576,AADAT,lncRNA,51166
ENSG00000103591,AAGAB,lncRNA,79719
ENSG00000115977,AAK1,mRNA,22848
ENSG00000087884,AAMDC,lncRNA,28971
ENSG00000127837,AAMP,mRNA,14
ENSG00000129673,AANAT,mRNA,15
ENSG00000131043,AAR2,lncRNA,25980
ENSG00000205002,AARD,mRNA,441376
ENSG00000090861,AARS1,lncRNA,16
ENSG00000124608,AARS2,mRNA,57505
ENSG00000266967,AARSD1,lncRNA,80755
ENSG00000157426,AASDH,lncRNA,132949
ENSG00000149313,AASDHPPT,mRNA,60496
ENSG00000008311,AASS,mRNA,10157
ENSG00000275700,AATF,mRNA,26574
ENSG00000181409,AATK,mRNA,9625
ENSG00000183044,ABAT,mRNA,18
ENSG00000165029,ABCA1,mRNA,19
ENSG00000107331,ABCA2,lncRNA,20
ENSG00000167972,ABCA3,mRNA,21
ENSG00000198691,ABCA4,lncRNA,24
ENSG00000154265,ABCA5,mRNA,23461
ENSG00000154262,ABCA6,mRNA,23460
ENSG00000064687,ABCA7,mRNA,10347
ENSG00000141338,ABCA8,mRNA,10351
ENSG00000154258,ABCA9,mRNA,10350
ENSG00000154263,ABCA10,mRNA,10349
ENSG00000144452,ABCA12,lncRNA,26154
ENSG00000179869,ABCA13,lncRNA,154664
ENSG00000085563,ABCB1,mRNA,5243
ENSG00000005471,ABCB4,mRNA,5244
ENSG00000004846,ABCB5,mRNA,340273
ENSG00000115657,ABCB6,lncRNA,10058
ENSG00000131269,ABCB7,lncRNA,22
ENSG00000197150,ABCB8,mRNA,11194
ENSG00000150967,ABCB9,mRNA,23457
ENSG00000135776,ABCB10,mRNA,23456
ENSG00000073734,ABCB11,lncRNA,8647
ENSG00000103222,ABCC1,mRNA,4363
ENSG00000023839,ABCC2,lncRNA,1244
ENSG00000108846,ABCC3,lncRNA,8714
ENSG00000125257,ABCC4,lncRNA,10257
ENSG00000114770,ABCC5,lncRNA,10057
ENSG00000091262,ABCC6,lncRNA,368
ENSG00000006071,ABCC8,lncRNA,6833
ENSG00000069431,ABCC9,lncRNA,10060
ENSG00000124574,ABCC10,mRNA,89845
ENSG00000121270,ABCC11,lncRNA,85320
ENSG00000140798,ABCC12,mRNA,94160
ENSG00000101986,ABCD1,mRNA,215
ENSG00000173208,ABCD2,mRNA,225
ENSG00000117528,ABCD3,lncRNA,5825
ENSG00000119688,ABCD4,mRNA,5826
ENSG00000164163,ABCE1,lncRNA,6059
